figure,value
model.prediction_calibration.predicted_3_0_to_4_0.ratio,1.0115
model.prediction_calibration.predicted_4_0_to_5_0.predicted,4.4285
model.prediction_calibration.predicted_4_0_to_5_0.actual,4.1780
model.prediction_calibration.predicted_4_0_to_5_0.ratio,0.9434
model.prediction_calibration.predicted_5_0_to_6_0.predicted,5.4175
model.prediction_calibration.predicted_5_0_to_6_0.actual,4.9485
model.prediction_calibration.predicted_5_0_to_6_0.ratio,0.9134
model.prediction_calibration.predicted_6_0_and_above.predicted,7.5222
model.prediction_calibration.predicted_6_0_and_above.actual,6.6780
model.prediction_calibration.predicted_6_0_and_above.ratio,0.8878
model.prediction_candidates.control_directional_minutes_recency_off_points.change_in_mean_absolute_error,0.0406
model.prediction_candidates.control_directional_minutes_recency_off_points.change_in_root_mean_square_error,0.0750
model.prediction_candidates.control_directional_minutes_recency_off_points.change_in_absolute_bias,0.1134
model.prediction_candidates.control_directional_minutes_recency_off_points.change_in_error_sd,0.0672
model.prediction_candidates.control_directional_minutes_recency_off_minutes.change_in_mean_absolute_error,3.9022
model.prediction_candidates.control_directional_minutes_recency_off_minutes.change_in_root_mean_square_error,4.2337
model.prediction_candidates.control_directional_minutes_recency_off_minutes.change_in_absolute_bias,3.1418
model.prediction_candidates.control_directional_minutes_recency_off_minutes.change_in_error_sd,4.0397
model.prediction_candidates.control_directional_minutes_recency_off_expected_goals_assists.change_in_mean_absolute_error,0.0007
model.prediction_candidates.control_directional_minutes_recency_off_expected_goals_assists.change_in_root_mean_square_error,0.0045
model.prediction_candidates.control_directional_minutes_recency_off_expected_goals_assists.change_in_absolute_bias,0.0050
model.prediction_candidates.control_directional_minutes_recency_off_expected_goals_assists.change_in_error_sd,0.0045
model.prediction_candidates.control_directional_minutes_recency_off_tail_and_ordering.change_in_signed_error_over_the_top_predicted,0.0166
model.prediction_candidates.control_directional_minutes_recency_off_tail_and_ordering.change_in_rank_correlation,-0.0872
model.prediction_candidates.control_invariance_vice_captain_fallback_off_points.change_in_mean_absolute_error,0.0000
model.prediction_candidates.control_invariance_vice_captain_fallback_off_points.change_in_root_mean_square_error,0.0000
model.prediction_candidates.control_invariance_vice_captain_fallback_off_points.change_in_absolute_bias,0.0000
model.prediction_candidates.control_invariance_vice_captain_fallback_off_points.change_in_error_sd,0.0000
model.prediction_candidates.control_invariance_vice_captain_fallback_off_minutes.change_in_mean_absolute_error,0.0000
model.prediction_candidates.control_invariance_vice_captain_fallback_off_minutes.change_in_root_mean_square_error,0.0000
model.prediction_candidates.control_invariance_vice_captain_fallback_off_minutes.change_in_absolute_bias,0.0000
model.prediction_candidates.control_invariance_vice_captain_fallback_off_minutes.change_in_error_sd,0.0000
model.prediction_candidates.control_invariance_vice_captain_fallback_off_expected_goals_assists.change_in_mean_absolute_error,0.0000
model.prediction_candidates.control_invariance_vice_captain_fallback_off_expected_goals_assists.change_in_root_mean_square_error,0.0000
model.prediction_candidates.control_invariance_vice_captain_fallback_off_expected_goals_assists.change_in_absolute_bias,0.0000
model.prediction_candidates.control_invariance_vice_captain_fallback_off_expected_goals_assists.change_in_error_sd,0.0000
model.prediction_candidates.control_invariance_vice_captain_fallback_off_tail_and_ordering.change_in_signed_error_over_the_top_predicted,0.0000
model.prediction_candidates.control_invariance_vice_captain_fallback_off_tail_and_ordering.change_in_rank_correlation,0.0000
model.prediction_candidates.candidate_two_estimators_of_p_appears_as_before_the_unification_points.change_in_mean_absolute_error,-0.0002
model.prediction_candidates.candidate_two_estimators_of_p_appears_as_before_the_unification_points.change_in_root_mean_square_error,-0.0001
model.prediction_candidates.candidate_two_estimators_of_p_appears_as_before_the_unification_points.change_in_absolute_bias,0.0008
model.prediction_candidates.candidate_two_estimators_of_p_appears_as_before_the_unification_points.change_in_error_sd,-0.0001
model.prediction_candidates.candidate_two_estimators_of_p_appears_as_before_the_unification_minutes.change_in_mean_absolute_error,0.0000
model.prediction_candidates.candidate_two_estimators_of_p_appears_as_before_the_unification_minutes.change_in_root_mean_square_error,0.0000
model.prediction_candidates.candidate_two_estimators_of_p_appears_as_before_the_unification_minutes.change_in_absolute_bias,0.0000
model.prediction_candidates.candidate_two_estimators_of_p_appears_as_before_the_unification_minutes.change_in_error_sd,0.0000
model.prediction_candidates.candidate_two_estimators_of_p_appears_as_before_the_unification_expected_goals_assists.change_in_mean_absolute_error,0.0000
model.prediction_candidates.candidate_two_estimators_of_p_appears_as_before_the_unification_expected_goals_assists.change_in_root_mean_square_error,0.0000
model.prediction_candidates.candidate_two_estimators_of_p_appears_as_before_the_unification_expected_goals_assists.change_in_absolute_bias,0.0000
model.prediction_candidates.candidate_two_estimators_of_p_appears_as_before_the_unification_expected_goals_assists.change_in_error_sd,0.0000
model.prediction_candidates.candidate_two_estimators_of_p_appears_as_before_the_unification_tail_and_ordering.change_in_signed_error_over_the_top_predicted,-0.0053
model.prediction_candidates.candidate_two_estimators_of_p_appears_as_before_the_unification_tail_and_ordering.change_in_rank_correlation,0.0001
model.prediction_candidates.candidate_appearance_constants_refit_on_the_windowed_population_points.change_in_mean_absolute_error,-0.0153
model.prediction_candidates.candidate_appearance_constants_refit_on_the_windowed_population_points.change_in_root_mean_square_error,0.0040
model.prediction_candidates.candidate_appearance_constants_refit_on_the_windowed_population_points.change_in_absolute_bias,0.0721
model.prediction_candidates.candidate_appearance_constants_refit_on_the_windowed_population_points.change_in_error_sd,-0.0007
model.prediction_candidates.candidate_appearance_constants_refit_on_the_windowed_population_minutes.change_in_mean_absolute_error,0.0000
model.prediction_candidates.candidate_appearance_constants_refit_on_the_windowed_population_minutes.change_in_root_mean_square_error,0.0000
model.prediction_candidates.candidate_appearance_constants_refit_on_the_windowed_population_minutes.change_in_absolute_bias,0.0000
model.prediction_candidates.candidate_appearance_constants_refit_on_the_windowed_population_minutes.change_in_error_sd,0.0000
model.prediction_candidates.candidate_appearance_constants_refit_on_the_windowed_population_expected_goals_assists.change_in_mean_absolute_error,0.0000
model.prediction_candidates.candidate_appearance_constants_refit_on_the_windowed_population_expected_goals_assists.change_in_root_mean_square_error,0.0000
model.prediction_candidates.candidate_appearance_constants_refit_on_the_windowed_population_expected_goals_assists.change_in_absolute_bias,0.0000
model.prediction_candidates.candidate_appearance_constants_refit_on_the_windowed_population_expected_goals_assists.change_in_error_sd,0.0000
model.prediction_candidates.candidate_appearance_constants_refit_on_the_windowed_population_tail_and_ordering.change_in_signed_error_over_the_top_predicted,-0.1831
model.prediction_candidates.candidate_appearance_constants_refit_on_the_windowed_population_tail_and_ordering.change_in_rank_correlation,-0.0040
model.prediction_candidates.candidate_appearance_constants_refit_against_expectedminutes_points.change_in_mean_absolute_error,-0.0072
model.prediction_candidates.candidate_appearance_constants_refit_against_expectedminutes_points.change_in_root_mean_square_error,-0.0014
model.prediction_candidates.candidate_appearance_constants_refit_against_expectedminutes_points.change_in_absolute_bias,0.0252
model.prediction_candidates.candidate_appearance_constants_refit_against_expectedminutes_points.change_in_error_sd,-0.0028
model.prediction_candidates.candidate_appearance_constants_refit_against_expectedminutes_minutes.change_in_mean_absolute_error,0.0000
model.prediction_candidates.candidate_appearance_constants_refit_against_expectedminutes_minutes.change_in_root_mean_square_error,0.0000
model.prediction_candidates.candidate_appearance_constants_refit_against_expectedminutes_minutes.change_in_absolute_bias,0.0000
model.prediction_candidates.candidate_appearance_constants_refit_against_expectedminutes_minutes.change_in_error_sd,0.0000
model.prediction_candidates.candidate_appearance_constants_refit_against_expectedminutes_expected_goals_assists.change_in_mean_absolute_error,0.0000
model.prediction_candidates.candidate_appearance_constants_refit_against_expectedminutes_expected_goals_assists.change_in_root_mean_square_error,0.0000
model.prediction_candidates.candidate_appearance_constants_refit_against_expectedminutes_expected_goals_assists.change_in_absolute_bias,0.0000
model.prediction_candidates.candidate_appearance_constants_refit_against_expectedminutes_expected_goals_assists.change_in_error_sd,0.0000
model.prediction_candidates.candidate_appearance_constants_refit_against_expectedminutes_tail_and_ordering.change_in_signed_error_over_the_top_predicted,-0.0898
model.prediction_candidates.candidate_appearance_constants_refit_against_expectedminutes_tail_and_ordering.change_in_rank_correlation,-0.0007
model.prediction_candidates.candidate_the_sixty_minute_curve_alone_refit_against_expectedminutes_points.change_in_mean_absolute_error,-0.0069
model.prediction_candidates.candidate_the_sixty_minute_curve_alone_refit_against_expectedminutes_points.change_in_root_mean_square_error,-0.0015
model.prediction_candidates.candidate_the_sixty_minute_curve_alone_refit_against_expectedminutes_points.change_in_absolute_bias,0.0242
model.prediction_candidates.candidate_the_sixty_minute_curve_alone_refit_against_expectedminutes_points.change_in_error_sd,-0.0029
model.prediction_candidates.candidate_the_sixty_minute_curve_alone_refit_against_expectedminutes_minutes.change_in_mean_absolute_error,0.0000
model.prediction_candidates.candidate_the_sixty_minute_curve_alone_refit_against_expectedminutes_minutes.change_in_root_mean_square_error,0.0000
model.prediction_candidates.candidate_the_sixty_minute_curve_alone_refit_against_expectedminutes_minutes.change_in_absolute_bias,0.0000
model.prediction_candidates.candidate_the_sixty_minute_curve_alone_refit_against_expectedminutes_minutes.change_in_error_sd,0.0000
model.prediction_candidates.candidate_the_sixty_minute_curve_alone_refit_against_expectedminutes_expected_goals_assists.change_in_mean_absolute_error,0.0000
model.prediction_candidates.candidate_the_sixty_minute_curve_alone_refit_against_expectedminutes_expected_goals_assists.change_in_root_mean_square_error,0.0000
model.prediction_candidates.candidate_the_sixty_minute_curve_alone_refit_against_expectedminutes_expected_goals_assists.change_in_absolute_bias,0.0000
model.prediction_candidates.candidate_the_sixty_minute_curve_alone_refit_against_expectedminutes_expected_goals_assists.change_in_error_sd,0.0000
model.prediction_candidates.candidate_the_sixty_minute_curve_alone_refit_against_expectedminutes_tail_and_ordering.change_in_signed_error_over_the_top_predicted,-0.0878
model.prediction_candidates.candidate_the_sixty_minute_curve_alone_refit_against_expectedminutes_tail_and_ordering.change_in_rank_correlation,-0.0008
model.prediction_candidates.candidate_rate_recency_half_life_8_points.change_in_mean_absolute_error,-0.0082
model.prediction_candidates.candidate_rate_recency_half_life_8_points.change_in_root_mean_square_error,-0.0078
model.prediction_candidates.candidate_rate_recency_half_life_8_points.change_in_absolute_bias,0.0174
model.prediction_candidates.candidate_rate_recency_half_life_8_points.change_in_error_sd,-0.0088
model.prediction_candidates.candidate_rate_recency_half_life_8_minutes.change_in_mean_absolute_error,0.0000
model.prediction_candidates.candidate_rate_recency_half_life_8_minutes.change_in_root_mean_square_error,0.0000
model.prediction_candidates.candidate_rate_recency_half_life_8_minutes.change_in_absolute_bias,0.0000
model.prediction_candidates.candidate_rate_recency_half_life_8_minutes.change_in_error_sd,0.0000
model.prediction_candidates.candidate_rate_recency_half_life_8_expected_goals_assists.change_in_mean_absolute_error,-0.0000
model.prediction_candidates.candidate_rate_recency_half_life_8_expected_goals_assists.change_in_root_mean_square_error,0.0001
model.prediction_candidates.candidate_rate_recency_half_life_8_expected_goals_assists.change_in_absolute_bias,0.0001
model.prediction_candidates.candidate_rate_recency_half_life_8_expected_goals_assists.change_in_error_sd,0.0001
model.prediction_candidates.candidate_rate_recency_half_life_8_tail_and_ordering.change_in_signed_error_over_the_top_predicted,-0.0539
model.prediction_candidates.candidate_rate_recency_half_life_8_tail_and_ordering.change_in_rank_correlation,0.0026
model.prediction_coverage.2020_21.gameweeks_contributing_observations,33.0000
model.prediction_coverage.2020_21.observations_in_the_headline_population,10096.0000
model.prediction_coverage.2020_21.observations_per_gameweek,305.9394
model.prediction_coverage.2021_22.gameweeks_contributing_observations,33.0000
model.prediction_coverage.2021_22.observations_in_the_headline_population,9847.0000
model.prediction_coverage.2021_22.observations_per_gameweek,298.3939
model.prediction_coverage.2022_23.gameweeks_contributing_observations,32.0000
model.prediction_coverage.2022_23.observations_in_the_headline_population,9865.0000
model.prediction_coverage.2022_23.observations_per_gameweek,308.2812
model.prediction_coverage.2023_24.gameweeks_contributing_observations,33.0000
model.prediction_coverage.2023_24.observations_in_the_headline_population,10205.0000
model.prediction_coverage.2023_24.observations_per_gameweek,309.2424
model.prediction_coverage.2024_25.gameweeks_contributing_observations,33.0000
model.prediction_coverage.2024_25.observations_in_the_headline_population,10286.0000
model.prediction_coverage.2024_25.observations_per_gameweek,311.6970
model.prediction_coverage.2025_26.gameweeks_contributing_observations,33.0000
model.prediction_coverage.2025_26.observations_in_the_headline_population,10255.0000
model.prediction_coverage.2025_26.observations_per_gameweek,310.7576
model.prediction_ordering.model.mean_within_gameweek_rank_correlation,0.4306
model.prediction_ordering.model.signed_error_over_the_top_20_predicted,0.3292
model.prediction_ordering.naive_mean_of_last_5_gameweeks.mean_within_gameweek_rank_correlation,0.3347
model.prediction_ordering.naive_mean_of_last_5_gameweeks.signed_error_over_the_top_20_predicted,2.6099
model.prediction_ordering.naive_mean_of_season_to_date.mean_within_gameweek_rank_correlation,0.3139
model.prediction_ordering.naive_mean_of_season_to_date.signed_error_over_the_top_20_predicted,1.0818
model.sixty_minute_threshold.players_averaging_0_10_minutes_a_gameweek.model_credits,0.0128
model.sixty_minute_threshold.players_averaging_0_10_minutes_a_gameweek.actually_reached_60_minutes,0.0066
model.sixty_minute_threshold.players_averaging_0_10_minutes_a_gameweek.error,0.0062
model.sixty_minute_threshold.players_averaging_0_10_minutes_a_gameweek.the_superseded_minutes_reliability_proxy_credited,0.0063
model.sixty_minute_threshold.players_averaging_10_20_minutes_a_gameweek.model_credits,0.1032
model.sixty_minute_threshold.players_averaging_10_20_minutes_a_gameweek.actually_reached_60_minutes,0.1228
model.sixty_minute_threshold.players_averaging_10_20_minutes_a_gameweek.error,-0.0195
model.sixty_minute_threshold.players_averaging_10_20_minutes_a_gameweek.the_superseded_minutes_reliability_proxy_credited,0.1030
model.sixty_minute_threshold.players_averaging_20_30_minutes_a_gameweek.model_credits,0.1846
model.sixty_minute_threshold.players_averaging_20_30_minutes_a_gameweek.actually_reached_60_minutes,0.2272
model.sixty_minute_threshold.players_averaging_20_30_minutes_a_gameweek.error,-0.0425
model.sixty_minute_threshold.players_averaging_20_30_minutes_a_gameweek.the_superseded_minutes_reliability_proxy_credited,0.2019
model.sixty_minute_threshold.players_averaging_30_40_minutes_a_gameweek.model_credits,0.3002
model.sixty_minute_threshold.players_averaging_30_40_minutes_a_gameweek.actually_reached_60_minutes,0.3347
model.sixty_minute_threshold.players_averaging_30_40_minutes_a_gameweek.error,-0.0344
model.sixty_minute_threshold.players_averaging_30_40_minutes_a_gameweek.the_superseded_minutes_reliability_proxy_credited,0.3060
model.sixty_minute_threshold.players_averaging_40_50_minutes_a_gameweek.model_credits,0.4544
model.sixty_minute_threshold.players_averaging_40_50_minutes_a_gameweek.actually_reached_60_minutes,0.4614
model.sixty_minute_threshold.players_averaging_40_50_minutes_a_gameweek.error,-0.0070
model.sixty_minute_threshold.players_averaging_40_50_minutes_a_gameweek.the_superseded_minutes_reliability_proxy_credited,0.4226
model.sixty_minute_threshold.players_averaging_50_60_minutes_a_gameweek.model_credits,0.6136
model.sixty_minute_threshold.players_averaging_50_60_minutes_a_gameweek.actually_reached_60_minutes,0.5758
model.sixty_minute_threshold.players_averaging_50_60_minutes_a_gameweek.error,0.0378
model.sixty_minute_threshold.players_averaging_50_60_minutes_a_gameweek.the_superseded_minutes_reliability_proxy_credited,0.5427
model.sixty_minute_threshold.players_averaging_60_70_minutes_a_gameweek.model_credits,0.7501
model.sixty_minute_threshold.players_averaging_60_70_minutes_a_gameweek.actually_reached_60_minutes,0.7001
model.sixty_minute_threshold.players_averaging_60_70_minutes_a_gameweek.error,0.0500
model.sixty_minute_threshold.players_averaging_60_70_minutes_a_gameweek.the_superseded_minutes_reliability_proxy_credited,0.6667
model.sixty_minute_threshold.players_averaging_70_80_minutes_a_gameweek.model_credits,0.8509
model.sixty_minute_threshold.players_averaging_70_80_minutes_a_gameweek.actually_reached_60_minutes,0.8093
model.sixty_minute_threshold.players_averaging_70_80_minutes_a_gameweek.error,0.0416
model.sixty_minute_threshold.players_averaging_70_80_minutes_a_gameweek.the_superseded_minutes_reliability_proxy_credited,0.7963
model.sixty_minute_threshold.players_averaging_80_91_minutes_a_gameweek.model_credits,0.9274
model.sixty_minute_threshold.players_averaging_80_91_minutes_a_gameweek.actually_reached_60_minutes,0.9214
model.sixty_minute_threshold.players_averaging_80_91_minutes_a_gameweek.error,0.0060
model.sixty_minute_threshold.players_averaging_80_91_minutes_a_gameweek.the_superseded_minutes_reliability_proxy_credited,0.9346
model.team_rate_predictors.goals_conceded_after_3_matches_played.this_season_only_error,0.7115
model.team_rate_predictors.goals_conceded_after_3_matches_played.last_season_only_error,0.3201
model.team_rate_predictors.goals_conceded_after_3_matches_played.best_blend_of_the_two_error,0.3201
model.team_rate_predictors.goals_conceded_after_3_matches_played.prior_strength_that_blend_used_in_matches,70.0000
model.team_rate_predictors.goals_conceded_after_5_matches_played.this_season_only_error,0.6101
model.team_rate_predictors.goals_conceded_after_5_matches_played.last_season_only_error,0.3244
model.team_rate_predictors.goals_conceded_after_5_matches_played.best_blend_of_the_two_error,0.3238
model.team_rate_predictors.goals_conceded_after_5_matches_played.prior_strength_that_blend_used_in_matches,45.0000
model.team_rate_predictors.goals_conceded_after_8_matches_played.this_season_only_error,0.4746
model.team_rate_predictors.goals_conceded_after_8_matches_played.last_season_only_error,0.3232
model.team_rate_predictors.goals_conceded_after_8_matches_played.best_blend_of_the_two_error,0.3165
model.team_rate_predictors.goals_conceded_after_8_matches_played.prior_strength_that_blend_used_in_matches,30.0000
model.team_rate_predictors.goals_conceded_after_11_matches_played.this_season_only_error,0.4608
model.team_rate_predictors.goals_conceded_after_11_matches_played.last_season_only_error,0.3457
model.team_rate_predictors.goals_conceded_after_11_matches_played.best_blend_of_the_two_error,0.3418
model.team_rate_predictors.goals_conceded_after_11_matches_played.prior_strength_that_blend_used_in_matches,30.0000
model.team_rate_predictors.goals_conceded_after_15_matches_played.this_season_only_error,0.4179
model.team_rate_predictors.goals_conceded_after_15_matches_played.last_season_only_error,0.3810
model.team_rate_predictors.goals_conceded_after_15_matches_played.best_blend_of_the_two_error,0.3710
model.team_rate_predictors.goals_conceded_after_15_matches_played.prior_strength_that_blend_used_in_matches,20.0000
model.team_rate_predictors.goals_conceded_after_20_matches_played.this_season_only_error,0.4387
model.team_rate_predictors.goals_conceded_after_20_matches_played.last_season_only_error,0.4048
model.team_rate_predictors.goals_conceded_after_20_matches_played.best_blend_of_the_two_error,0.3959
model.team_rate_predictors.goals_conceded_after_20_matches_played.prior_strength_that_blend_used_in_matches,30.0000
model.team_rate_predictors.goals_conceded_after_25_matches_played.this_season_only_error,0.4420
model.team_rate_predictors.goals_conceded_after_25_matches_played.last_season_only_error,0.4442
model.team_rate_predictors.goals_conceded_after_25_matches_played.best_blend_of_the_two_error,0.4256
model.team_rate_predictors.goals_conceded_after_25_matches_played.prior_strength_that_blend_used_in_matches,15.0000
model.team_rate_predictors.goals_scored_after_3_matches_played.this_season_only_error,0.6202
model.team_rate_predictors.goals_scored_after_3_matches_played.last_season_only_error,0.3602
model.team_rate_predictors.goals_scored_after_3_matches_played.best_blend_of_the_two_error,0.3543
model.team_rate_predictors.goals_scored_after_3_matches_played.prior_strength_that_blend_used_in_matches,20.0000
model.team_rate_predictors.goals_scored_after_5_matches_played.this_season_only_error,0.5553
model.team_rate_predictors.goals_scored_after_5_matches_played.last_season_only_error,0.3782
model.team_rate_predictors.goals_scored_after_5_matches_played.best_blend_of_the_two_error,0.3753
model.team_rate_predictors.goals_scored_after_5_matches_played.prior_strength_that_blend_used_in_matches,30.0000
model.team_rate_predictors.goals_scored_after_8_matches_played.this_season_only_error,0.5136
model.team_rate_predictors.goals_scored_after_8_matches_played.last_season_only_error,0.3885
model.team_rate_predictors.goals_scored_after_8_matches_played.best_blend_of_the_two_error,0.3824
model.team_rate_predictors.goals_scored_after_8_matches_played.prior_strength_that_blend_used_in_matches,30.0000
model.team_rate_predictors.goals_scored_after_11_matches_played.this_season_only_error,0.4225
model.team_rate_predictors.goals_scored_after_11_matches_played.last_season_only_error,0.3759
model.team_rate_predictors.goals_scored_after_11_matches_played.best_blend_of_the_two_error,0.3509
model.team_rate_predictors.goals_scored_after_11_matches_played.prior_strength_that_blend_used_in_matches,15.0000
model.team_rate_predictors.goals_scored_after_15_matches_played.this_season_only_error,0.4060
model.team_rate_predictors.goals_scored_after_15_matches_played.last_season_only_error,0.3966
model.team_rate_predictors.goals_scored_after_15_matches_played.best_blend_of_the_two_error,0.3669
model.team_rate_predictors.goals_scored_after_15_matches_played.prior_strength_that_blend_used_in_matches,15.0000
model.team_rate_predictors.goals_scored_after_20_matches_played.this_season_only_error,0.4111
model.team_rate_predictors.goals_scored_after_20_matches_played.last_season_only_error,0.4292
model.team_rate_predictors.goals_scored_after_20_matches_played.best_blend_of_the_two_error,0.3930
model.team_rate_predictors.goals_scored_after_20_matches_played.prior_strength_that_blend_used_in_matches,10.0000
model.team_rate_predictors.goals_scored_after_25_matches_played.this_season_only_error,0.4453
model.team_rate_predictors.goals_scored_after_25_matches_played.last_season_only_error,0.4854
model.team_rate_predictors.goals_scored_after_25_matches_played.best_blend_of_the_two_error,0.4406
model.team_rate_predictors.goals_scored_after_25_matches_played.prior_strength_that_blend_used_in_matches,5.0000
diff.baseline,false
